,code,fine,score,content
189,16272,100,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超2人）
190,16273,150,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超3人）
191,16274,200,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超4人以上）
192,16280,50,6,驾驶中型以上载客汽车在城市快速路上行驶超过规定时速未达20％的
193,16290,50,6,驾驶中型以上载货汽车在城市快速路上行驶超过规定时速未达20％的
194,16300,50,6,驾驶校车在城市快速路上行驶超过规定时速未达20％的
195,16310,50,6,驾驶危险物品运输车辆在城市快速路上行驶超过规定时速未达20％的
196,16320,50,6,驾驶中型以上载客汽车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
197,16330,50,6,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
198,16340,50,6,驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
199,16350,50,6,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
200,16360,50,6,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的
201,16361,100,6,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车在高速公路上行驶超过规定时速20%以上未达到50%的
202,16370,500,6,机动车载物超过核定载质量30%的
203,16380,500,6,货运机动车违反规定载客的
204,16390,500,6,运输剧毒化学品机动车超过核定载质量30％的
205,16400,100,6,驾驶机动车运载超限的不可解体的物品，未按指定的时间、路线、速度行驶的
206,16410,100,6,驾驶机动车运载超限的不可解体的物品，未悬挂明显标志的
207,16421,50,6,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时停车休息时间少于20分钟的
208,16422,100,6,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时未停车休息
209,17050,1000,12,造成交通事故后逃逸，尚不构成犯罪的
210,17091,200,12,驾驶与驾驶证载明的准驾车型不相符合的车辆的（驾驶摩托车、拖拉机的）
211,17092,250,12,驾驶与驾驶证载明的准驾车型不相符合的车辆的（驾驶其他机动车的）
212,17093,1000,12,驾驶与驾驶证载明的准驾车型不相符合的车辆的（驾驶营运客车的）
213,1710A,2000,12,公路客运车辆载客超过额定乘员20%的
214,17121,1000,12,饮酒后驾驶机动车的
215,17160,200,12,驾驶公路客运车辆、公共汽车以外的其他营运客车载人超过核定人数20％以上的
216,17170,100,12,上道路行驶的机动车未悬挂机动车号牌的
217,17180,100,12,故意遮挡机动车号牌的
218,17190,100,12,故意污损机动车号牌的
219,17200,100,12,不按规定安装机动车号牌的
220,17210,500,12,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上的
221,17220,50,12,驾驶中型以上载客汽车在城市快速路上行驶超过规定时速20％以上未达50%的
222,17230,50,12,驾驶中型以上载货汽车在城市快速路上行驶超过规定时速20％以上未达50%的
223,17240,50,12,驾驶校车在城市快速路上行驶超过规定时速20％以上未达50%的
224,17250,50,12,驾驶危险物品运输车辆在城市快速路上行驶超过规定时速20％以上未达50%的
225,17260,500,12,驾驶中型以上载客汽车在高速公路以外的道路上行驶超过规定时速50%的
226,17270,500,12,驾驶中型以上载货汽车在高速公路以外的道路上行驶超过规定时速50%的
227,17280,500,12,驾驶校车在高速公路以外的道路上行驶超过规定时速50%的
228,17290,500,12,驾驶危险物品运输车辆在高速公路以外的道路上行驶超过规定时速50%的
229,17301,50,12,连续驾驶中型以上载客汽车超过4小时停车休息时间少于20分钟的
230,17302,100,12,连续驾驶中型以上载客汽车超过4小时未停车休息
231,17311,50,12,连续驾驶危险物品运输车辆超过4小时停车休息时间少于20分钟的
232,17312,100,12,连续驾驶危险物品运输车辆超过4小时未停车休息
233,,,,
234,20020,200,0,非机动车违反交通管制的规定强行通行，不听劝阻的
235,20030,50,0,非机动车未依法登记，上道路行驶的
236,20040,50,0,非机动车逆向行驶的
237,20050,10,0,没有非机动车道的道路上，非机动车不靠车行道右侧行驶的
238,20060,10,0,非机动车违反规定使用其他车辆专用车道的
239,20070,20,0,非机动车不按照交通信号规定通行的
240,20080,50,0,非机动车驾驶人不服从交警指挥的
241,20090,10,0,非机动车未在非机动车道内行驶的
242,20100,50,0,醉酒驾驶、驾驭非机动车、畜力车的
243,20110,10,0,驾驶残疾人机动轮椅车超速行驶的
244,20120,10,0,驾驶电动自行车超速行驶的
245,20130,10,0,非机动车不按规定载物的
246,20140,10,0,非机动车不在规定地点停放的
247,20150,10,0,非机动车停放时妨碍其他车辆和行人通行的
248,20160,10,0,非机动车通过路口，转弯的非机动车不让直行的车辆、行人优先通行的
249,20170,10,0,非机动车通过路口，遇有前方路口交通阻塞时，强行进入的
250,20180,10,0,非机动车通过路口，向左转弯时，不靠路口中心点右侧转弯的
251,20190,10,0,非机动车遇停止信号时，停在停止线以内或路口内的
252,20200,10,0,非机动车向右转弯遇同车道内有车等候放行信号不能转弯时，不依次等候的
253,20210,20,0,行经无灯控或交警指挥的路口，不让标志、标线指示优先通行的一方先行的
254,20220,20,0,行经无灯控、交警指挥或标志、标线控制的路口，无交通标志标线，不让右方道路的来车先行的
255,20230,20,0,行经无灯控或交警指挥的路口，右转弯的非机动车不让左转弯的车辆先行的
256,20240,20,0,驾驶自行车、电动自行车、三轮车在路段上横过机动车道时不下车推行的
257,20250,20,0,有人行横道时，非机动车不从人行横道横过机动车道的
258,20260,20,0,有行人过街设施时，非机动车不从行人过街设施横过机动车道的
259,20270,20,0,非机动车借道行驶后不迅速驶回非机动车道的
260,20280,20,0,非机动车转弯时未减速慢行，伸手示意，突然猛拐的
261,20290,20,0,非机动车超车时妨碍被超越的车辆行驶的
262,20300,20,0,驾驶非机动车牵引车辆的
263,20310,20,0,驾驶非机动车攀扶车辆的
264,20320,20,0,非机动车被其他车辆牵引的
265,20330,20,0,驾驶非机动车时双手离把的
266,20340,20,0,驾驶非机动车时手中持物的
267,20350,20,0,驾驶非机动车时扶身并行的
268,20360,20,0,驾驶非机动车时互相追逐的
269,20370,20,0,驾驶非机动车时曲折竟驶的
270,20380,20,0,在道路上骑独轮自行车的
271,20390,20,0,在道路上骑2人以上骑行的自行车的
272,20400,20,0,非下肢残疾的人驾驶残疾人机动轮椅车的
273,20410,20,0,自行车加装动力装置的
274,20420,20,0,三轮车加装动力装置的
275,20430,20,0,在道路上学习驾驶非机动车的
276,20440,50,0,非机动车不避让盲人的
277,20450,10,0,驾驭畜力车横过道路时，驾驭人未下车牵引牲畜的
278,20460,10,0,畜力车并行的
279,20470,10,0,驾驶畜力车时驾驭人离开车辆的
280,20480,10,0,驾驶畜力车时在容易发生危险的路段超车的
281,20490,10,0,驾驶两轮畜力车不下车牵引牲畜的
282,20500,10,0,使用未经驯服的牲畜驾车的
283,20510,10,0,随车幼畜未栓系的
284,20520,10,0,停放畜力车时未拉紧车闸的
285,20530,10,0,停放畜力车时未栓系牲畜的
286,20540,50,0,未满12周岁驾驶自行车、三轮车的
287,20550,50,0,未满16周岁驾驶、驾驭电动自行车、残疾人机动轮椅、畜力车的
288,30010,5,0,行人违反交通信号通行的
289,30020,10,0,行人不服从交警指挥的
290,30030,5,0,行人不在人行道内行走的
291,30040,5,0,行人在没有划分机动车道、非机动车道和人行道的道路上，不靠路边行走的
292,30050,5,0,行人横过道路未走人行横道或过街设施的
293,30060,10,0,行人跨越道路隔离设施的
294,30070,10,0,行人倚坐道路隔离设施的
295,30080,50,0,行人扒车的
296,30090,50,0,行人强行拦车的
297,30100,50,0,行人实施其他妨碍交通安全的行为的
298,30110,50,0,学龄前儿童以及不能辨认或不能控制自己行为的精神疾病患者、智力障碍者在道路上通行时，没有其监护人或对其负有管理职责的人带领的
299,30120,50,0,盲人在道路上通行，未使用导盲手段的
300,30130,5,0,行人不按规定通过铁路道口的
301,30140,10,0,在道路上使用滑行工具的
302,30150,10,0,行人在车行道内坐卧、停留、嬉闹的
303,30160,50,0,行人有追车、抛物击车等妨碍道路交通安全的行为的
304,30170,5,0,行人不按规定横过机动车道的
305,30180,5,0,行人列队在道路上通行时每横列超过2人的
306,30191,10,0,机动车行驶时，乘坐人员未按规定使用安全带的（在普通公路、城市道路上行驶的）
307,30192,20,0,机动车行驶时，乘坐人员未按规定使用安全带的（在高速公路上行驶的）
308,30200,20,0,乘坐摩托车不戴安全头盔的
309,30210,50,0,乘车人携带易燃、易爆等危险物品的
310,30220,10,0,乘车人向车外抛洒物品的
311,30230,10,0,乘车人有影响驾驶人安全驾驶的行为的
312,30240,10,0,在机动车道上拦乘机动车的
313,30250,10,0,在机动车道上从机动车左侧上下车的
314,30260,10,0,开关车门妨碍其他车辆和行人通行的
315,30270,10,0,机动车行驶中乘坐人员干扰驾驶的
316,30280,10,0,机动车行驶中乘坐人员将身体任何部分伸出车外的
317,30290,50,0,乘车人在机动车行驶中跳车的
318,30300,20,0,乘坐两轮摩托车未正向骑坐的
319,40010,10,0,行人进入高速公路的
320,40020,200,0,拖拉机驶入高速公路的
321,40030,50,0,非机动车进入高速公路的
322,40040,50,0,在高速公路上车辆发生故障或事故后，车上人员未迅速转移到右侧路肩上或者应急车道内的
323,40050,100,0,机动车从匝道进入或驶离高速公路时不按规定使用灯光的
324,40060,100,0,机动车从匝道进入高速公路时妨碍已在高速公路内的机动车正常行驶的
325,40070,100,0,在高速公路的路肩上行驶的
326,40080,100,0,非紧急情况下在高速公路应急车道上行驶的
327,40090,100,0,机动车在高速公路上通过施工作业路段，不减速行驶的
328,40100,100,0,在高速公路上骑、轧车行道分界线的
329,40110,200,0,在高速公路上试车或学习驾驶机动车的
330,40120,100,0,在高速公路上违反规定拖曳故障车、肇事车的
331,40140,100,0,在高速公路上行驶的载货汽车车厢载人的
332,40150,100,0,在高速公路上行驶的两轮摩托车载人的
333,42040,200,2,在高速公路上行驶时，驾驶人未按规定使用安全带的
334,43010,100,3,驾驶设计最高时速低于70公里的机动车进入高速公路的
335,43020,100,3,机动车在高速公路上发生故障或交通事故后，驾驶人不按规定使用危险报警闪光灯的
336,43030,100,3,高速公路上车辆发生故障或交通事故后，不按规定设置警告标志的
337,43050,100,3,在高速公路上超速不足50%的
338,43060,100,3,在高速公路上正常情况下以低于规定最低时速行驶的
339,43111,150,3,在高速公路匝道上超车的
340,43112,150,3,在高速公路加速车道上超车的
341,43113,150,3,在高速公路减速车道上超车的
342,43120,50,3,驾驶机动车在高速公路上不按规定车道行驶的
343,46080,200,6,机动车在高速公路遇交通拥堵，占用应急车道行驶的
344,46090,100,6,驾驶中型以上载客汽车在高速公路上行驶超过规定时速未达20％的
345,46100,100,6,驾驶中型以上载货汽车在高速公路上行驶超过规定时速未达20％的
346,46110,100,6,驾驶校车在高速公路上行驶超过规定时速未达20％的
347,46120,100,6,驾驶危险物品运输车辆在高速公路上行驶超过规定时速未达20％的
348,46130,100,6,驾驶营运客车以外的机动车在高速公路行车道上停车的
349,46140,100,6,驾驶营运客车以外的机动车非紧急情况下在高速公路应急车道上停车的
350,46150,100,6,低能见度气象条件下，驾驶机动车在高速公路上不按规定行驶的
351,47010,200,12,在高速公路上倒车的
352,47020,200,12,在高速公路上逆行的
353,47030,200,12,在高速公路上穿越中央分隔带掉头的
354,47040,100,12,驾驶营运客车在高速公路行车道上停车的
355,47050,100,12,驾驶营运客车非紧急情况下在高速公路应急车道上停车的
356,47060,100,12,驾驶中型以上载客汽车在高速公路上行驶超过规定时速20％以上未达50%的
357,47070,100,12,驾驶中型以上载货汽车在高速公路上行驶超过规定时速20％以上未达50%的
358,47080,100,12,驾驶校车在高速公路上行驶超过规定时速20％以上未达50%的
359,47090,100,12,驾驶危险物品运输车辆在高速公路上行驶超过规定时速20％以上未达50%的
360,47100,500,12,驾驶中型以上载客汽车在高速公路上行驶超过规定时速50％的
361,47110,500,12,驾驶中型以上载货汽车在高速公路上行驶超过规定时速50％的
362,47120,500,12,驾驶校车在高速公路上行驶超过规定时速50％的
363,47130,500,12,驾驶危险物品运输车辆在高速公路上行驶超过规定时速50％的
364,,,,
365,50021,3000,0,伪造、变造机动车号牌的
366,50031,3000,0,伪造、变造机动车行驶证的
367,50041,2000,0,伪造、变造机动车检验合格标志的
368,50051,2000,0,伪造、变造机动车保险标志的
369,50061,3000,0,伪造、变造机动车驾驶证的
370,50075,2000,0,使用伪造、变造的机动车登记证书的（驾驶摩托车、拖拉机的）
371,50076,2500,0,使用伪造、变造的机动车登记证书的（驾驶非营运载客汽车的）
372,50077,3000,0,使用伪造、变造的机动车登记证书的（驾驶货运机动车的）
373,50078,3500,0,使用伪造、变造的机动车登记证书的（驾驶其他类型机动车的）
374,50079,4000,0,使用伪造、变造的机动车登记证书的（驾驶营运载客汽车的）
375,50105,1000,0,使用伪造、变造的机动车检验合格标志的（驾驶摩托车、拖拉机的）
376,50106,2000,0,使用伪造、变造的机动车检验合格标志的（驾驶非营运载客汽车的）
377,50107,2000,0,使用伪造、变造的机动车检验合格标志的（驾驶货运机动车的）
378,50108,2000,0,使用伪造、变造的机动车检验合格标志的（驾驶其他类型机动车的）
379,50109,2500,0,使用伪造、变造的机动车检验合格标志的（驾驶营运载客汽车的）
380,50115,1000,0,使用伪造、变造的机动车保险标志的（驾驶摩托车、拖拉机的）
381,50116,2000,0,使用伪造、变造的机动车保险标志的（驾驶非营运载客汽车的）
382,50117,2000,0,使用伪造、变造的机动车保险标志的（驾驶货运机动车的）
383,50118,2000,0,使用伪造、变造的机动车保险标志的（驾驶其他类型机动车的）
384,50119,2500,0,使用伪造、变造的机动车保险标志的（驾驶营运载客汽车的）
385,50134,2000,0,使用其他车辆的机动车登记证书的（驾驶摩托车、拖拉机的）
386,50135,2500,0,使用其他车辆的机动车登记证书的（驾驶非营运载客汽车的）
387,50136,3000,0,使用其他车辆的机动车登记证书的（驾驶货运机动车的）
388,50137,3500,0,使用其他车辆的机动车登记证书的（驾驶其他类型机动车的）
389,50138,4000,0,使用其他车辆的机动车登记证书的（驾驶营运载客汽车的）
390,50164,2000,0,使用其他车辆的机动车检验合格标志的（驾驶摩托车、拖拉机的）
391,50165,2500,0,使用其他车辆的机动车检验合格标志的（驾驶非营运载客汽车的）
392,50166,3000,0,使用其他车辆的机动车检验合格标志的（驾驶货运机动车的）
